Row,data_split,feasible,infeasibility_flag,error_message
Pontinus_kuhlii,train,1,0,
Potamalosa_richmondia,train,1,0,
Potamilus_purpuratus,train,1,0,
Potamorhina_latior,train,1,0,
Potamotrygon_leopoldi,train,1,0,
Potomida_littoralis,train,1,0,
Prionotus_albirostris,train,1,0,
Prionotus_carolinus,train,1,0,
Prionotus_punctatus,train,1,0,
Prionotus_stephanophrys,val,1,0,
Pristipomoides_auricilla,train,1,0,
Pristipomoides_flavipinnis,train,1,0,
Pristipomoides_macrophthalmus,val,1,0,
Pristipomoides_sieboldii,test,1,0,
Pristipomoides_zonatus,train,1,0,
Pristis_clavata,train,1,0,
Pristis_microdon,train,1,0,
Pristis_pectinata,train,1,0,
Pristis_perotteti,train,1,0,
Pristis_pristis,train,1,0,
Pristis_zijsron,test,1,0,
Procambarus_virginalis,train,1,0,
Pronodularia_japanensis,val,1,0,
Protonibea_diacanthus,val,1,0,
Psammophis_sibilans,test,1,0,
Psammophylax_rhombeatus,train,1,0,
Psenopsis_anomala,train,1,0,
Psettodes_erumei,train,1,0,
Pseudemys_texana,train,1,0,
Pseudobagrus_vachellii,train,1,0,
Pseudobatos_horkelii,train,1,0,
Pseudobatos_percellens,train,1,0,
Pseudocaranx_dentex,train,1,0,
Pseudochromis_fuscus,train,1,0,
Pseudocyttus_maculatus,train,1,0,
Pseudophryne_bibronii,train,1,0,
Pseudoplatystoma_corruscans,train,1,0,
Pseudoplatystoma_fasciatum,train,1,0,
Pseudopleuronectes_americanus,test,0,1,
Pseudopleuronectes_yokohamae,val,0,1,
Pseudosida_ramosa,train,1,0,
Pterodoras_granulosus,train,1,0,
Pteroplatytrygon_violacea,val,1,0,
Ptychocheilus_oregonensis,test,1,0,
Pungitius_pungitius,train,1,0,
Pycnochromis_margaritifer,train,1,0,
Pylodictis_olivaris,train,1,0,
Python_regius,train,1,0,
Quadrula_quadrula,train,1,0,
Rachycentron_canadum,train,1,0,
Raja_asterias,train,1,0,
Raja_microocellata,test,1,0,
Raja_montagui,train,1,0,
Raja_texana,train,1,0,
Rana_iberica,train,1,0,
Rastrelliger_brachysoma,train,1,0,
Rastrelliger_faughni,test,1,0,
Rastrelliger_kanagurta,val,1,0,
Rastrineobola_argentea,train,1,0,
Ratabulus_diversidens,train,1,0,
Rhinobatos_productus,test,1,0,
Rhinobatos_rhinobatos,train,1,0,
Rhinogobiops_nicholsii,train,1,0,
Rhinogobius_brunneus,train,1,0,
Rhinoptera_bonasus,val,1,0,
Rhizoprionodon_acutus,train,1,0,
Rhizoprionodon_lalandii,train,1,0,
Rhizoprionodon_oligolinx,test,1,0,
Rhizoprionodon_porosus,train,1,0,
Rhizoprionodon_taylori,train,1,0,
Rhodeus_amarus,train,1,0,
Rhodeus_ocellatus,train,1,0,
Rhodeus_sericeus,train,1,0,
Rhombosolea_plebeia,train,1,0,
Rioraja_agassizii,train,1,0,
Rogadius_asper,train,1,0,
Roncador_stearnsii,train,1,0,
Rostroraja_texana,train,1,0,
Salpa_thompsoni,test,1,0,
Salvelinus_alpinus,train,1,0,
Salvelinus_willoughbii,train,1,0,
Sander_vitreus,train,1,0,
Sarda_chiliensis,val,1,0,
Sarda_orientalis,train,1,0,
Sarda_sarda,train,1,0,
Sardinella_albella,train,1,0,
Sardinella_aurita,train,1,0,
Sardinella_brasiliensis,train,1,0,
Sardinella_fimbriata,train,1,0,
Sardinella_gibbosa,test,1,0,
Sardinella_lemuru,train,1,0,
Sardinella_longiceps,train,1,0,
Sardinella_maderensis,train,1,0,
Sardinella_melanura,train,1,0,
Sardinella_sindensis,train,1,0,
Sardinella_tawilis,val,1,0,
Sardinella_zunasi,train,1,0,
Sargocentron_diadema,train,1,0,
Sargocentron_microstoma,train,1,0,
Sargocentron_rubrum,train,1,0,
Sauromalus_ater,train,1,0,
Scaphirhynchus_platorynchus,train,1,0,
Scaphirhynchus_suttkusi,val,1,0,
Sceloporus_grammicus,train,1,0,
Sceloporus_orcutti,train,1,0,
Sceloporus_spinosus,train,1,0,
Schilbe_mandibularis,train,1,0,
Schilbe_uranoscopus,val,1,0,
Schmidtea_polychroa,train,1,0,
Scincella_lateralis,train,1,0,
Scoliodon_laticaudus,train,1,0,
Scomber_colias,train,1,0,
Scomber_japonicus,train,1,0,
Scomber_scombrus,train,1,0,
Scomberesox_saurus,train,1,0,
Scomberomorus_maculatus,train,1,0,
Scomberomorus_munroi,val,1,0,
Scomberomorus_niphonius,test,1,0,
Scomberomorus_queenslandicus,train,1,0,
Scophthalmus_maximus,val,1,0,
Scorpaena_elongata,train,1,0,
Scorpaena_guttata,train,1,0,
Scorpaena_maderensis,train,1,0,
Scorpaena_notata,train,1,0,
Scorpaena_porcus,train,1,0,
Scorpaena_scrofa,train,1,0,
Secutor_insidiator,train,1,0,
Selar_crumenophthalmus,train,1,0,
Selaroides_leptolepis,train,1,0,
Semaprochilodus_insignis,train,1,0,
Semaprochilodus_taeniurus,train,1,0,
Sepia_officinalis,train,1,0,
Sepiella_inermis,train,1,0,
Sepietta_obscura,train,0,timeout,
Setipinna_phasa,train,1,0,
Setipinna_taty,train,1,0,
Siganus_luridus,train,1,0,
Siganus_rivulatus,train,1,0,
Sillago_aeolus,train,1,0,
Sillago_burrus,train,1,0,
Sillago_ciliata,train,1,0,
Sillago_flindersi,train,1,0,
Sillago_japonica,train,1,0,
Sillago_schomburgkii,val,1,0,
Sillago_sihama,test,1,0,
Sillago_vittata,train,1,0,
Silurus_glanis,train,1,0,
Silurus_triostegus,train,1,0,
Siniperca_chuatsi,test,1,0,
Siphateles_bicolor,test,1,0,
Siren_lacertina,train,1,0,
Smaug_giganteus,train,1,0,
Smeringurus_mesaensis,train,1,0,
Solea_senegalensis,train,0,4,
Squalus_megalops,val,1,0,
Squatina_californica,train,1,0,
Stegastes_acapulcoensis,test,1,0,
Stegastes_arcifrons,train,1,0,
Stegastes_beebei,train,1,0,
Stegastes_flavilatus,test,1,0,
Stegastes_fuscus,train,1,0,
Stegastes_nigricans,test,1,0,
Stegastes_planifrons,test,1,0,
Stegastes_rectifraenum,train,1,0,
Stigmatogobius_pleurostigma,train,1,0,
Stolephorus_carpentariae,test,1,0,
Stolephorus_commersonnii,train,1,0,
Stolephorus_indicus,test,1,0,
Stolephorus_insularis,train,1,0,
Stolephorus_nelsoni,val,1,0,
Stolephorus_waitei,val,1,0,
Strangomera_bentincki,train,1,0,
Sufflogobius_bibarbatus,train,1,0,
Symphurus_plagiusa,val,1,0,
Syngnathoides_biaculeatus,val,1,0,
Syngnathus_abaster,val,1,0,
Syngnathus_fuscus,test,1,0,
Syngnathus_taenionotus,train,1,0,
Synodontis_batensoda,train,1,0,
Synodontis_clarias,train,1,0,
Synodontis_membranaceus,test,1,0,
Synodontis_nebulosus,train,1,0,
Synodontis_schall,train,1,0,
Synodontis_zambezensis,train,1,0,
Terrapene_carolina,train,1,0,
Testudo_hermanni,test,0,6,
Tetronarce_nobiliana,train,1,0,
Thryssa_aestuaria,train,1,0,
Thryssa_hamiltonii,test,1,0,
Thryssa_setirostris,train,1,0,
Thunnus_alalunga,train,1,0,
Thunnus_albacares,test,1,0,
Thunnus_obesus,val,1,0,
Thymallus_baicalensis,test,1,0,
Thymallus_nigrescens,train,1,0,
Tiliqua_rugosa,train,1,0,
Torpedo_marmorata,train,1,0,
Trachemys_scripta,val,1,0,
Trachurus_indicus,train,1,0,
Trachurus_japonicus,train,1,0,
Trachurus_lathami,train,1,0,
Trachurus_mediterraneus,train,1,0,
Trachurus_murphyi,val,1,0,
Trachurus_novaezelandiae,train,1,0,
Trachurus_picturatus,train,1,0,
Trachurus_symmetricus,train,1,0,
Trachurus_trachurus,train,1,0,
Trachycephalus_resinifictrix,train,1,0,
Trematomus_bernacchii,train,0,1,
Trematomus_hansoni,test,0,1,
Trematomus_lepidorhinus,train,1,0,
Trematomus_loennbergii,train,0,1,
Trematomus_newnesi,train,0,1,
Trematomus_nicolai,train,1,0,
Trematomus_scotti,train,0,1,
Triakis_megalopterus,train,1,0,
Triakis_scyllium,val,1,0,
Triakis_semifasciata,train,1,0,
Trichiurus_lepturus,val,1,0,
Tridacna_gigas,val,1,0,
Trigla_lyra,train,1,0,
Trimma_benjamini,train,1,0,
Triops_longicaudatus,train,1,0,
Triportheus_albus,train,0,1,
Triportheus_elongatus,train,0,1,
Tritia_reticulatus,val,1,0,
Tritogonia_verrucosa,train,1,0,
Truncilla_truncata,train,1,0,
Trygonoptera_mucosa,test,1,0,
Trygonoptera_personata,train,1,0,
Trygonorrhina_fasciata,train,1,0,
Trypauchen_vagina,train,1,0,
Tylosurus_acus,train,1,0,
Tylosurus_crocodilus,train,1,0,
Typhlonarke_aysoni,test,1,0,
Ulvaria_subbifurcata,train,1,0,
Urobatis_halleri,val,1,0,
Urogymnus_polylepis,test,1,0,
Urolophus_lobatus,val,1,0,
Urolophus_paucimaculatus,train,1,0,
Urotrygon_aspidura,train,1,0,
Urotrygon_rogersi,train,1,0,
Valenciennea_muralis,train,1,0,
Valenciennea_strigata,train,1,0,
Varanus_komodoensis,val,1,0,
Variola_louti,train,1,0,
Wallago_attu,train,1,0,
Xenosaurus_platyceps,train,1,0,
Xiphias_gladius,test,1,0,
Xiphophorus_maculatus,train,0,1,
Zaprora_silenus,train,1,0,
Zapteryx_brevirostris,test,1,0,
Zapteryx_exasperata,val,1,0,
Zearaja_nasuta,train,1,0,
Ziphius_cavirostris,train,1,0,
Zoarces_americanus,train,1,0,
Zootoca_vivipara,val,1,0,
Zosterisessor_ophiocephalus,test,1,0,
